iniaricaʉ,"especie de árbol (que se encuentra en los rastrojos y que provee comida para los pájaros). pl. m n ar caʉ yucʉ r E, m n ar ca yucʉ r J."
miniejare J,"rẽjare E v.i. reunirse, congregarse."
minijedo,nido de pájaro.
miniqueare J,reunirse.
iniriajʉ J,rẽjariajʉ E inan. lugar de reunión.
miniriawii J,rẽjariawii E inan. casa de reunión.
mino,viento.
ino wẽajure,mĩn wẽ úú e J] tumbar con fuerza (acción del viento).
minoa,"an.s.plural vencejos, arrejacos o arrejaques. Reinarda squamata. 170 roca jeogʉ mee ñaacam m noamʉma El pájaro vencejo nunca se posa en un árbol. sing. m noamʉ."
Minobedoa,"vuelta, recodo largo (en el caño Piedra). 2."
Minobedoa buuro,loma cerca de la curva Minobedoa por el caño Piedra. 2.
Minobedoa jaabua,playa de la curva Minobedoa. 2.
Minoña,"1 caño Golondrina (afluente del río Pirá-Paraná, arriba de Puerto Ortega). V. M noʉ, apén. mapa3. 2 caño (afluente del río Pirá-Paraná, arriba de San Miguel). V. apén. mapa3."
Minoʉ,cerro Golondrina. 3.
Mio buuro,Trinidad de Tiquié (comunidad de gente tuyuca). 1.
Mio buuroana,an.s.plural habitantes de Trinidad de Tiquié.
ioʉ,palo de fariña (reg.).
Miowagũ u,"cachivera (bras.), raudal, rápido (en el caño Piedra). V. apén. mapa2."
misi,bejucos.
misi rica,"fruta de un bejuco (comestible, del tamaño y forma de una naranja con cáscara gruesa, varias pepas grandes cubiertas con un a pulpa amarilla y del sabor de una toronja; se comen la pulpa cruda, sin cocinar; aunque se encuentra en la selva también la cultiva la gente)."
misibedo,rollo del bejuco yaré.
misi gãjoro,cargador de canasta (reg. para llevar cosas en la espalda).
isi gãjoʉ,especie de árbol (cuya cáscara se utiliza para hacer cargador de canasta).
isijacʉ,"tamandúa o tamanduá, tamandúa bandeira. Tamandua tetradactyla. 171 duermen en huecos de palos caídos."
misi jeru,"gato tigre, gato pintado. Felis wiedii."
moa,inan.s.de masa sal.
moá,especie de ave nocturna (se parece al búho).
moabariore J,jaabariore E v.t. abrazar (poner el brazo sobre el hombro de la mujer en la danza).
moabiarocare,mõ o e J] v.t.sing. dar de comer al niño algo que es tabú.
oabʉabetire,mõ et e J] v.t. no tocar para evitar enfermedades.
oabʉrʉare,"1 dar puño, hacer puño. 2 hacer bolitas (con barro, masa, papel, cualquier cosa blanda), arrugar (papel)."
moadaoro,rana saltadora (no comestible). Leptodactylus sp.
moagodoa,botella (utilizada para contener la sal).
oaĩare,"examinar, probar (por tocar)."
moajeare,doblar (papel).
moajioro,especie de escarabajo (parecido al bicho torito). O. Coleoptera. 172 toman el liquido del caimarón. V. cãmoca jĩco.
moamicare,doblar sin cuidado. any which way
oanuguẽre,dar un pellizco duro para molestar.
moare,"1 trabajar. 2 funcionar (motor, radio, reloj)."
"moarimasʉ, oari aso","mõ rĩ m s J] s.v.m., f. trabajador, trabajadora."
oasĩnire,"ensuciar, embarrar, untar, frotar (el cuerpo con algo sucio)."
oasĩore,untar (el cuerpo de otro con pintura negra).
moatãniare,hacer dobladilla en (vestido).
moatuajaire,"no estar quieto, quieta; molestar por no estar quieto."
moatuure,"sacar, llevar con algo (que protege las manos del calor, del mugre, etc.)."
moawidaore,"remojar; hacer pegajoso, pegajosa con agua (fariña); arcilloso, arcillosa (tierra)."
Moawii,"cachivera (bras.), raudal, rápido (en el río Pirá-Paraná). 3."
oawʉore,"revolver (coca con la ceniza de hojas del árbol yarumo, la sal con el ají, etc.)."
moio E,"moño J mõ an. guardacaminos rabilargo, chotacabras. Hydropsalis climacocerca."
"moji E, J","muji YM inan.f.n.esp. 1 caraná (bras.), palma de jícara, guágara (especie de hoja que se usa para techar las casas). Manicaria saccifera Gaertn, Mauritia carana Wall. 173 jota moji, mojiño, mojitii. 2 techo. V. cõmegase, wii munia."
oji jacʉ jĩco,mõ ĩ ĩ J] inan.f.n.esp. 1 especie de caraná (con ramos largos). 2 especie de palma de caraná (alta con hojas largas).
ojibʉcʉño ricaa,mõ ĩ J] inan.f.n.esp. frutos de la palma de caraná (no comestibles).
mojiño,palma de caraná. V. moji. mojitii tejido de caraná
mojitii,"una tira, un tejido de caraná (bras.)."
"ojogʉ aca, ojogõaca E","õcʉ ʉca, õcõoca E, quĩjiaca /quĩjica, quĩjoca J s.v.m., f. pequeño, pequeña; chiquitico, chiquitica (animal, persona)."
"ojogʉ bʉsaaca, ojogõ bʉsaaca E","quĩjiaca bʉsa, quĩjoaca bʉsa J s.v.m., f. (ser/estar) un poquito menos de tamaño (persona masculina, femenina)."
"mojoricaaca E, J","õcãaca E, cãgãaca J s.v.inan. cosa pequeña (cosa que lleva el clasificador -a como canoa, balón, fruta)."
ojoricʉaca E,"cãgʉ ʉca J s.v.inan. 1 árbol inmaduro, verde. 2 hamaca pequeña."
ojorijaʉ,"ojorijʉ m õ ĩ E mõ ĩ J] s.v.inan. lugar pequeño; parte, porción pequeña. sinón. mojor jaʉaca, õcãjaʉaca. V. mojoro."
ojorijaʉaca,"mõ ĩ J] s.v.inan. lugar pequeño; parte, porción pequeña."
mojorisaaca J,õcãyaaca E s.v.inan. cañito.
"mojoro E, J","mojoroaca E, J, õcõroaca E cuan.inan. poco, poca; poquito, poquita (cantidad de algo)."
"mojoroaca E, J","mojoro E, J, õcõroaca E, cõroaca J cuan.inan. poco, poca; poquito, poquita (cantidad de algo)."
momi TUC,"confites, dulces."
momia,an.s.plural abejas momia (especie pequeña que le gusta el sudor y molesta mucho). F. Halictidae.
momia masa TUC,"an.s.plural grupo étnico entre los carapana. sing. mom agʉ , mom agõ V. ʉr ñ rã, dʉrʉa masa, mʉtea, mom a ‘un dulce’: mom ."
Mo iʉ,"cerro en el caño Tatú al otro lado del cerro Rã eʉ. V. gʉ taʉ, Rãme cũmuro, Rãmeʉ, apén. mapa4."
momoarã,"an.s.plural ranas momoarã (comestibles, viven en la orilla de los ríos)."
mona,"inan.s.de masa, cl.irreg. polvo, cosa polvorienta."
monacooro,correcaminos collarejo (especie de ave negra). Neomorphus geoffroyi salvini. sinón. betapeero.
"oñigʉ , oñigõ","s.v.m., f. ser animado de color gris (animal, persona)."
oñigʉ yai,especie de tigre (parecido a una puma).
moñirã,an.s.plural moscas moñirã (especie que hace hinchazones al picar y salen los días nublosos).
moñise,"ser/estar) de color gris, café claro; tener el color gris, café claro; de color pálido, tener color pálido; de color pastel, tener un color pastel. V. botise, moñ gʉ . —s.v.inan.f.n.esp. cosa(s) de color gris, cosa(s) pálida(s), cosa(s) de color pastel."
moore,dejar alguien en el puerto (donde iban a subir).
mosiro,grillo. Acheta assimilis.
mosiro misimaa,mõ sĩ õ mĩs ĩ m J] inan. especie de bejuco (que produce fruta comestible). 175 misimaa se encuentra en la orilla del río. V. misi.
mosise J,wʉase E v.i. hervir.
mosisoese J,wʉasoese E v.i. salirse al hervir (líquido).
moto moto,llamada para la oropéndola.
motoro ESP,motor (uso: generalmente para canoa).
ucuna ʉ,especie de pez (comestible).
ucuroa ʉ E,u uroa ʉ J m m m an. abejorro ucuroa ʉ (especie con rayas amarillas).
mucuse,"ser/estar) ácido, ácida; tener sabor ácido (marañón, umarí)."
mucuyujire,"enjuagar, limpiar (la boca por la mañana)."
mugã,especie de maleza (como un helecho).
"muiju E, J","mujiju YM mũ ĩ ũ m. 1 sol. 2 luna. 176 días de la luna creciente. pl. no hay plural. sinón. ñam agʉ mu ju, usugʉ. 3 mes. 4 uiju jedirũtuacʉ fases de la luna: 1 etapa cuando la luna no aparece antes de la luna nueva, 2 luna creciente, 3 luna llena, 4 luna menguante uiju jediacʉ s.v.m. luna menguante (luna en las etapas después de la luna llena)."
muiju cõorito,"mũ ĩ ũ ĩ tõ J] s.v.inan. reloj, reloj de pulsera."
muijuduro,especie de búho. 177 muijuduro especie de búho
muijutii,"reloj (uso: lengua tradicional, indígena, no se usa hoy en día). V. muiju cõorito, rujatii. muijutii reloj"
muire,"1 fallar (tiro de escopeta, cerbatana). 2 tener mala suerte, no tener suerte (por muchas razones). sinón. ewa manire. muji YM V. moji E, J. mujiju YM V. muiju E, J. mujurii YM V. mʉjor E. u uroa ʉ J V. mucuroamʉ E."
munea yise,"burbujear, salir burbujas."
muni,"ciempiés, centípedo (especie que pica). C. Chilopoda."
munia E,muniro J inan. unión de dos techos inclinados sobre la puerta (donde el techo inclinado de un lado se junta con el techo inclinado del otro lado). V. wii munia. muñu piraña
muñu,"piraña. Pygocentrus spp, Serrasalmus spp."
musa,"inan.s.de masa 1 achiote (pigmento, tinta, pintura roja del palo de achiote). 2 frutos del palo de achiote (no son comida para la gente). Bixa orellana L. V. gʉ nañe. musa achiote"
Musaca,río Tiquié. 178 en el río Vaupés y nace en la laguna Ewʉra. V. apén. mapa1.
usaʉ,palo de achiote (que produce la pintura roja). pl. musa yucʉ r V. musa. musawa especie de hormiga
musawa,"an.s.plural hormigas musawa (hormigas negras que pican y echan una sustancia agria, incomibles)."
musuase,"salirse pus; (estar) purulento, purulenta."
muteya ESP,botella.
muubaare,pescar (con una trampa).
muubiaajere,"m J] v.i. hacer ejercicio agachándose, inclinándose, inclinarse."
muubiare,agacharse.
uubiarẽtobudire,"mũ ẽt úd e J] v.i. agachar, inclinar la cabeza y pasar (un árbol viajando en canoa)."
uubʉacũure,mũ ẽ J] v.t. dejar boca abajo (una canasta sobre un animal para encerrarlo).
muucãnamuure,mũ n mũũ ẽ J] v.t. encajar.
muucuñaro,especie de cucaracha (grande). F. Blattidae.
uucũure,"dejar boca abajo (canoa, olla, canasta)."
muujeore,"muuñaare ʉjare Eduria & Barasana – Español – 179 poner boca abajo encima de algo (olla, platón, taza encima de la mesa)."
muuñaare,"empollar, poner a empollar, incubar, estar echada sobre huevos (hecho por ave, pájaro)."
muuqueaajere,mũ r J] v.i. hacer el ejercicio del flexión del pecho y brazos.
muuqueare,acostarse boca abajo.
muure,dejar trampa.
muurocasãare,"mũ ó s ẽ J] v.t. agachar, inclinar la cabeza (para pasar un árbol viajando en canoa)."
muurocayoore,"mũ ó d óó J] v.t. agachar, inclinar la cabeza."
ʉa,"1 ustedes; vosotros, vosotras. 2 de ustedes; su, sus. sing. mʉʉ. ʉare pron.an.pl. a ustedes, les. ʉa yaa/yee de ustedes; su, sus; suyo, suya."
Mʉca,"cachivera (bras.), raudal, rápido (en el río Pirá-Paraná). 2. ʉca curito"
ʉca,"curito (especie de pez siluro pequeño, negro y comestible). Hoplosternum littorale."
ʉja bujua,yacundá o jacundá (bras. especie de pez). Familia Ciclidas.
ʉja gaigʉ,"yacundá o jacundá lisa (bras. especie de pez comestible, tiene rayas rojas y negras)."
ʉjare,"subir (árbol, montaña). 180 ʉjariaro escalera"
ʉjariaro,escalera.
Mʉjorica,"cachivera (bras.), raudal, rápido Turí (en el río Pirá-Paraná arriba de la comunidad de Sonaña). 3."
ʉjoricʉ,palo de turí (reg. especie de árbol utilizado para hacer canastas grandes y antorchas).
"ʉjorii E, J",mujurii YM inan.f.n.esp. turí (reg. astillas de madera utilizada para hacer canastas grandes y antorchas).
ʉjorijãi,antorcha de turí (reg.).
ʉjorijuria,trozo de turí (reg.).
ʉniadire,venir río arriba.
ʉniariarojʉ,m n ĩ o J] s.v.inan. lugar río arriba.
ʉnire,"ir río arriba, subir (por el río)."
ʉno,tabaco. Nicotiana tabacum L.
ʉno wĩnire,m n wĩn ĩ ẽ J] s.v.inan. rapé.
ʉnoa,"estuche para guardar polvo de tabaco (hecho del casco de caracol, hueso de animal, brea y un pedazo de vidrio)."
ʉnogodoa,estuche vacío para guardar polvo de tabaco.
ʉnojoti,"cigarrillo, cigarro."
ʉno nunuro,ol lla “alas de av ón”. Lepidóptero. ʉnoro ʉʉ Eduria & Barasana – Español – 181 V. nunuro.
ʉnoro,torta de tabaco.
ʉnosẽro,soplador de tabaco.
ʉno wai,blanquillo (especie de pez).
ʉñore,vomitar.
ʉñose,vómito. V. mʉñore.
ʉore,"subir, elevar."
ʉtaaca,"ser) pequeños, pequeñas; chiquiticos, chiquiticas (cosas)."
ʉtarã,"ser) pequeños, pequeñas; chiquitos, chiquitas (animales, personas)."
ʉtarãaca,"ser) pequeños, pequeñas; chiquiticos, chiquiticas (animales, personas). sing. mojogʉ aca, mojogõaca sinón. mʉtarã. V. mʉtore."
ʉtea,"an.s.plural 1 grupo étnico entre los carapanas (lo cual pertenece a los del ascend ente llamado “Ʉco jĩno”). 2 zancudos. Anopheles spp., Aedes spp., Heamagogus spp. y otros de F. Culididae."
ʉtore,despedazar.
ʉʉ,"1 usted, tú. 2 de usted; su, sus; tu, tus."
ʉre,"le, lo, te; a usted, a ti. 182 suya; tuyo, tuya."
Misijacʉ,"cachivera (bras.), raudal, rápido en el río Pirá-Paraná. V. apén. mapa3. N - n"
na J,"cʉ e E interj. ¡qué hubo!, ¡oye!, ¡hola! (exclamación de reconocimiento, de frustración, de admiración, de sorpresa, etc.)."
nacuase,"ondear, rizarse, hacer olas, rizos u ondas (en río, caño)."
naica,"an.s.plural abejorros negros (hacen un hueco en un palo para sus crías, pican)."
naju,casabe (comida hecha del almidón y la masa de yuca brava).
naju gatere,"s.v.inan.s.de masa fariña, harina de mandioca (hecha de yuca brava ablandada en el agua)."
najuro,"pedazo, torta de casabe, pan de mandioca. 183 brava (en vez de hacer el casabe de almidón y masa guardada por un rato como es lo usual)."
najusawia,un cuarto de la torta de casabe.
najusuri,pedacitos de casabe.
najusũju,"inan.s.de masa migas, gránulos de fariña."
najusũjuroa,"an.s.plural termitas, térmites o termes, comejenes najusũjuroa (especie incomible, pequeñita)."
najutobe,balay que tiene casabe.
naju wʉjʉ,especie de caña de wʉjʉ. sing. naju wʉjʉa V. wʉjʉ.
"nanare E, J",oyoare YM v.i. temblar por miedo.
naria,especie de tubérculo cultivado (blanca y comestible).
ni,"cuál de ellos?, ¿quién? (ser masculino."
nijʉa,cuál de ellos? (ser masculino).
nijʉare,cuál de ellos? (ser masculino).
no,"1 ¿dónde? 2 ¿qué? (de manera o cantidad), ¿cómo? (de manera o cantidad). 184 ¿Qué/Cómo dice usted?"
"no bojagʉ, no bojago E, YM","no ã ogʉ , no ã ogõ n mõ J cualquier persona."
"no bojase E, YM",no ãmose n m sẽ J cualquier cosa. 1 ¿cuánto? (cantidad de algo). 2 ¿cuándo?
"no quĩji, no quĩjo J","nocʉ , nocõ E n ¿de qué tamaño?, ¿cómo de grande? (animal, persona masculino o femenino; árbol)."
noa,"quiénes? (animales, personas)."
noajʉa,"cuáles de ellos? (animales, personas)."
noanajʉa,"cuáles de ellos? (animales, personas). m. n jʉa, f. d sojʉa. sinón. noajʉa."
noaque,"dónde están? (animales, personas)."
nocã,"de qué tamaño? (cosa que lleva el clasificador -a como canoa, hacha). sinón. nocãgã."
nocãgã,"de qué tamaño? (cosa que lleva el clasificador -a como canoa, hacha)."
nocãrãcase,"cuántos, cuántas? (cosas que llevan los clasificadores contables -cʉ, -jʉ, -rʉ ʉ, -ro, -se y -a como palos, lugares, días, bancos, tiestos, ropa, machetes, etc.)."
"nocãrãcʉ, nocãrãco","nocãse ñaacõare Eduria & Barasana – Español – 185 n J] pron.interr.m., f. ¿cuántos, cuántas? (animales, personas masculinos o femeninos; árboles)."
nocãse,"de qué tamaño?, ¿cómo de grande? (cosa que lleva el clasificador -se como radio, ropa; o cualquier de los otros clasificadores, como -bʉ, -bedo, etc. como canasta, escopeta, rollo de bejuco)."
"nocʉ , nocõ E","no quĩji, no quĩjo J pron.interr.m., f. ¿de qué tamaño?, ¿cómo de grande? (animal, persona masculino, femenino; árbol)."
nojʉ,dónde?
nunuro,tábano (especie de mosca grande que pica). Tabanas spp.
nurujia,palo (largo con gancho para sacar o varear el fruto de los árboles). sinón. rẽe guj a. V. ʉye wejer ʉ.
nʉrʉase,"temblar (canoa, tierra)."
ñaabibese,impedir el paso.
ñaaboajaquẽne,ó ẽ nẽ J] conj. aunque (esto) pasó (uso: con cambio del sujeto).
ñaaboarine,"aunque, no obstante (uso: con sujeto mismo)."
ñaaboarone,"aunque, no obstante (uso: con cambio del sujeto)."
ñaacãnamuuse,"n m sẽ J] v.i. (ser/estar) alineado, alineada; paralelo, paralela; estar a través de."
ñaacõare,"estar, quedar. 186 que no ha visto yuruparí, tiene que quedar en un lugar aparte (no puede participar)."
ñaacudire,estar por un tiempo.
ñaagãnibiatore,nĩ tóó J] v.i. acercarse y rodear.
ñaagodase J,"ñaamasuse E v.i. (ser) importante; verdadero, verdadera; real. ñaaguijore J V. ñaagüiore E."
ñaagüiore E,"ñaaguijore J g óó v.t. asustar, espantar, dar susto, ahuyentar."
ñaajedire,estar todos completos (como grupo).
ñaajediro,"todos (animales, personas)."
ñaajoore J,ñaasejare E v.i. acostumbrarse a estar.
"ñaa asicacʉ, ñaa asicaco","s.v.m., f. difunto, difunta; muerto, muerta."
"ñaa asugʉ , ñaa asugõ E","ñaagodagʉ J m., f. (ser) importante (persona)."
ñaamasuse E,"ñaagodase J v.i. (ser) importante; verdadero, verdadera; real."
ñaarasare E,"ñaajasare J s v.i., suf.v. estar todos."
ñaare,"estar, ser, haber, existir, encontrarse, vivir."
ñaarẽ ore,"integrarse en un grupo, acompañar un grupo."
ñaarẽtose,sobrepasar. 187 manera de llevar más. V. ñaare.
ñaari,"gerundio por, porque, puesto que."
ñáári,"fue?, ¿estaba?, ¿estuvo?, etc. (interrogativo pasado para ser, estar)."
ñaaro,cuando.
ñaase,cosas (existente en un lugar).
ñaásé J,rijaye E s.v.inan. enfermedad.
ñaasejare E,ñaajoore J v.i. acostumbrarse a estar.
"ñaasʉogʉ, ñaasʉogo","s.v.m., f. primero, primera; primogénito, primogénita."
ñaasʉore,"ser/estar) primero, primera."
ñaasʉorii,"el primero (animal, persona)."
ñaasʉorirʉ ʉ,el primer día.
ñaasʉose,"al principio, en primer lugar."
ñaatoore,impedir.
ñaatoose,cubrirse (las nubes al sol).
"ñaatʉsagʉ, ñatʉsago","ñaatʉsare ñagõejarẽ oore Eduria & Barasana – Español – 188 t s g J] s.v.m., f. el último, la última que se queda (persona)."
ñaatʉsare,"ser/estar) último, última."
ñaatʉsarirʉ ʉ,t s m J] s.v.inan. el último día.
ñaayuure,esperar (en un lugar).
ñaca bʉcʉ E,ñaca bʉcʉ caje J inan. cúrcuma (especie de caña clasificada como maleza). Curcuma longa L.
ñacaroa,"an.s.plural hormigas ñacaroa (especie pequeña que pica, incomible)."
ñaco,asa de calabaza.
"ñagõbecʉ, ñagõbeco","s.v.m., f. mudo, muda; sordomudo, sordomuda."
ñagõbosare,"hablar por, interceder."
ñagõbuere,enseñar a hablar (modismo).
ñagõcõare,"enviar mensaje, mandar razón, comunicar por radio."
ñagõcõariaro,"o J] s.v.inan. teléfono, radioteléfono. 189"
ñagõejarẽ oore,ẽ m ẽ J] v.t. representar o ayudar a otro por hablar.
ñagõjaire,"criticar, quejar de alguien."
ñagõjẽnire,"conversar, dialogar, hablar a alguien."
ñagõjoore J,ñagõsejare E v.t. aprender (otro idioma).
ñagõjʉrʉare,murmurar.
ñagõmacare,"calumniar, hablar mal de alguien en su ausencia."
ñagõmasire,"saber hablar, aprender hablar."
ñagõ oca bʉtire,ó t J] v.t. exponer bien (con mucho entendimiento).
ñagõquẽnore,"aclarar (lo que había dicho para que el otro comprenda bien). sinón. got quẽnore. V. aj quẽnore, ñagõre, oca quẽnore."
ñagõre,hablar.
ñagõrẽtore,confesar.
ñagõrito,radio.
ñagõrotibetire,"ót e t e J] v.t. mandar a callar, mandar a guardar silencio."
ñagõsãare,grabar.
ñagõsãariaro,ñagõsejare ñajíimaa Eduria & Barasana – Español – 190 s o J] s.v.inan. grabadora.
ñagõsejare E,ñagõjoore J v.t. aprender (otro idioma).
ñagõtĩ are,convencer.
ñagõtudire,regañar de una manera indirecta.
ñagõtutuare,"exponer bien (con mucho entendimiento). sinón. ñagõ oca ʉt re. V. ñagõtĩmare, ñagõre."
ñaguẽjuure,agarrar con garras (gavilán).
ñaguẽre,"arañar, herir ligeramente con las garras o uñas (hecho por el tigre, gato, persona)."
ñaguẽtaare,dar arañazo (haciendo una herida).
ñaiore,"calentar (ollas de barro para endurecerlas), tostar (hojas de tabaco para que sean más resistentes o más durables). V. asiñaiore, ñaise, roañaiore."
ñaise,"1 (estar) cocido, cocida. 2 (estar) quemado, quemada (la piel por el sol)."
ñajaritata,pantano.
ñajaro,"lugar de arena movediza, tierra barrosa, pantanosa."
ñajase,"ser/estar) movediza (arena); barroso, barrosa (terreno, tierra)."
ñajii,"1 cortezas de cáscara de la palma barrigona (reg. utilizada para construir las paredes de casas, pisos camaretas y tiras para sostener cortezas de un palo). sing. ñajiigasero. pl. ñajii, ñajiigaseri. V. cõja. 2 palmas barrigonas."
ñajíi,batatas. Ipomea Batatas Lamarck.
ñajíimaa,bejuco de batata. ñajiiño ñama Eduria & Barasana – Español – 191 ñajiiño palma barrigona
ñajiiño,"especie de la palma barrigona (reg. produce la corteza para hacer las paredes de las casas, los pisos, y camaretas)."
ñajiitõo,"ristra, racimo de batatas. V. rujatõo. ñajo especie de oruga"
ñajo,"especie de oruga (que pica y es de varios colores: algunas son rojas, otras amarillas, otras gris, otras blancas y otras negras y grandes; viven en palos podridos; comen las hojas de muchas matas, incluyendo matas de la yuca brava, la uva del monte y el árbol de guama)."
ñama,"1 mantis religiosa, rezandera. F. Mantidae, Mantis religiosa, M. americana, Mantis versicolor. 2 venado."
ñama cãjuro,especie de venado (de color moreno). 192 ñama sũʉ especie de venado colorado ña a sũʉ an. especie de venado colorado (peludo rojo).
ñamagasero,pájaro curió ventricastaño. Oryzoborus angolensis.
Ñamajo,"cachivera (bras.), raudal, rápido en el caño Piedra. 2."
ñamarijaye E,"ña asʉ jo J inan. epilepsia. V. rijaquedire. ña arijaye rijagʉ, ña arijaye rijago E s.v.m., f. epiléptico, epiléptica. V. r jaqued gʉ."
ña asʉ jo J,ñamarijaye E inan. epilepsia.
ñami,noche.
ñaa ña i cʉtire,m t J] pasar toda la noche.
ñamia,"an.s.plural hormigas arrieras ñamia (comestibles, de color negro y rojo que vuelan en la madrugada). Atta cephalotes. 193 ñamia garoa an.s.plural machos de las hormigas ñamia."
ñamiabo,"hormiguero de las hormigas ñamia. V. ñamia, rujabo."
"ña iagʉ uiju E, J",ña iagʉ ujiju YM m. luna.
ña i bʉcʉ,especie de grillo.
ña ibʉsajʉ,poco antes del amanecer.
ñamica,ayer.
ñamicaaca,"por la tarde (antes de la puesta del sol, como a las cuatro por la tarde)."
ñamica barero,"chotacabras collarejo, chotacabras pechiblanco (nocturno). Podager nacunda, Chordeiles rupestris."
ña icajʉa,la tarde (en horas de la tarde).
ña icajʉaca,"por la tarde (antes de la puesta del sol, como a las cuatro por la tarde)."
Ñamicarima,"carácter mítico, la estrella vespertina, lucero de la tarde que es ascendiente, antepasado de la gente cõme masa."
Ñami soda,"carácter mítico, ascendiente, antepasado, el dueño de la noche quien hizo la noche (hijo de Muiju y Meneriyo, nieto de Meni)."
ñamo,ñames. Dioscorea alata L. 194 ñamoa ñame
ñanea,vagina.
"ñaquerijo J, YM",waicaje E inan.f.n.esp. chaquiras.
Ñaqueʉ,"cachivera (bras.), raudal, rápido (en el caño Piedra). V. Bʉjʉjoero, apén. mapa2. ñasa martín pescador, guardarrío"
ñasa,"martín pescador, guardarrío. Ceryle torquata, Chloroceryle amazona."
ñasaa,"inan.pl., sing. maraca, maracas (para la danza, hechas de una especie de totumo)."
ñasamaa,especie de mata de totumo (cuyo fruto se utiliza para hacer maracas). Cucurbita Pepo L.
ñataju,"bastón, bastones (ahuecados que se utilizan en las danzas)."
ñatajubʉ,tallo de wacʉbʉ (utilizado para hacer el bastón de la danza).
Ñatajujoero,"cachivera (bras.), raudal, rápido (en el caño Piedra). 195 w cʉt yuju Pa lo, yucʉrema Hace tiempo yo iba con mis hijos a bañarnos en la cachivera Ñatajujoero. Ahora Pablo vive cerca de esa cachivera. V. apén. mapa2."
ñatʉsarijoa,"última bolsa (como de sal, etc.)."
ñeare J,"ñiare E v.t.sing. 1 agarrar (una cosa, persona, animal con la mano), coger (pelota, algo tirado). 2 capturar (persona o animal), secuestrar (persona). pl. ñejere. V. ñeaabore, ñeaejore, ñiabiare, ñiarujiore, ñiasuare, ñiataare, ñiatuure, ricare. ñeariajʉ J V. ñ ar ajʉ E. ñeataare J V. ñiataare E."
ñee J,ñie E pron.interr.inan. ¿qué? (cosa).
ñeemaa,una raíz.
ñejere,"1 agarrar, coger con la mano (cosas, personas, animales). 2 capturar, secuestrar (personas, animales)."
ñejewaare,llevar con fuerza.
ñemeca sijiose,ẽ mẽ s o se J] v.i. tener sed.
ñemeritibutu,hígado. sinón. ñemeritiro.
ñe eriti bʉcʉ,pulmones.
ñemeriticuji,un pedazo del hígado.
ñemeritiro,"1 hígado. 2 un lóbulo del hígado, un pedacito del hígado."
ñemero,lengua.
ñemero gaja,punta de la lengua.
ñene,frutas del bejuco ñene (que contiene tres semillas comestibles).
ñenemaa,"especie de bejuco (cuya fruta contiene tres semillas, comestible). pl. ñene, ñenemaari."
ñenise,"1 quebrarse, partirse, henderse, agrietarse (tierra, canoa, olla de barro, árbol). 2 tener callos rajados (pie)."
ñeniwadise,"ñereri ñiatuure Eduria & Barasana – Español – 196 v.i. quebrarse, partirse, henderse, rajarse (olla de barro, palo, astil del hacha)."
ñereri,especie de árbol y su fruta comestible.
ñeʉ,especie de árbol (produce la savia que se utiliza para pintar bancos y maracas).
ñiaabore E,ñeaabore J ẽ oo e v.caus. ablandar con las manos (fruta).
"ñiabiare E, J","empapar, remojar por sumergir y enjuagar (ropa)."
"ñiabʉrʉare E, J",hacer bolitas con la mano.
ñiaejore E,ñeaejore J ẽ o e v.caus. coger y traer a donde estaba (el objeto).
ñiajeore,poner (la mano encima de).
ñiamicare E,doblar.
ñiare E,"ñeare J v.t.sing. 1 agarrar con la mano (una cosa, persona, animal), coger (pelota, algo tirado). 2 capturar (persona o animal), secuestrar (persona)."
ñiariajʉ E,"ñeariajʉ J ẽ s.v.inan. la parte cogida, manga, puño de taza, olla, maleta, escopeta."
"ñiaricũure E, J","apretar, oprimir (masa de yuca brava u otra masa comestible por apretar con la mano para que los bichos no se entren)."
"ñiasuare E, J","apretar, comprimir (hojas de coca en una canasta)."
ñiataare E,ñeataare J v.t.sing. 1 cortar con presión (usando cuchillo). 2 enjugarse lágrimas.
ñiaturiajʉ,sello.
"ñiatuure E, J",1 extender la mano sobre el hombro de otra persona. 197 danzaron con una de las manos sobre el hombro de la persona al lado de cada uno. 2 oprimir.
ñicorete,especie de rana (no comestible).
"ñicʉ, ñico","m., f. abuelo, abuela; antepasado, antepasada (uso: vocativo y discurso)."
ñicʉ J,"ñicʉgʉ E inan. pierna (únicamente a la parte entre el pie y la rodilla). ñicʉ ria J, ñicʉgʉ ria E inan. pantorrilla."
ñicʉado sudiro J,"ñicʉgʉ agaro sudiro E s.v.inan. pantalón (uso: lengua tradicional, indígena). sinón. yʉta wasoro ñ cʉado."
ñicʉgʉ E,ñicʉ J inan. pierna (únicamente a la parte entre el pie y la rodilla).
ñicʉgʉ agaro sudiro E,"ñicʉado sudiro J s.v.inan. pantalón (uso: lengua tradicional, indígena). sinón. yʉta wasoro ñ cʉado. ñicʉgʉ agaro sudiro E, ñicʉado sudiro J pantalón"
ñie E,ñee J pron.interr.inan. ¿qué? (cosa).
"ñie agʉ , ñie agõ E","ñee agʉ , ñee magõ J ẽẽ m 1 (ser/estar) sin algo (pelo, ropa, casa, etc.; animal, persona). 2 (ser/estar) pobre (persona masculina, femenina). 198 man j ʉne macoa tud ayum ĩ Yo le mandé a él a traer harto ucuquí. Pero él regresó con la canasta vacía. ñie anojʉ E, ñee anojʉ J lugar donde no hay nada (como chagra abandonada, espacio sin cosas). 1, 3."
